ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202111,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,4782131.84,20894,1068287.95,642,4718746.79,16893,762482.91,884,1931,60,2003,56
202312,1701903,Araguacema,17,TOCANTINS,NO,NORTE,19105957.11,103414,3760185.16,4707,19065806.44,66957,2882561.99,12009,3111,102,3107,98
202312,4315305,Quaraí,43,RIO GRANDE DO SUL,SU,SUL,47748242.95,259521,24280569.81,16469,45208410.13,162246,12685563.53,45051,11659,776,11262,736
202205,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,6519947.2,32603,554175.76,467,6047558.36,27023,1026116.31,1047,2406,39,2538,39
202112,2514453,São José Dos Ramos,25,PARAÍBA,NE,NORDESTE,2006405.28,10490,1394582.76,406,2450758.32,10467,900525.24,907,858,21,1042,17
202103,2807204,Siriri,28,SERGIPE,NE,NORDESTE,1047109.28,3954,77325.52,110,1009443.05,3885,201080.02,100,648,14,807,13
202509,1701903,Araguacema,17,TOCANTINS,NO,NORTE,3436861.97,15347,433965.85,779,2968102.3,9277,661601.47,2218,2626,97,2165,92
202504,1701903,Araguacema,17,TOCANTINS,NO,NORTE,23307282.06,140277,5046775.54,8560,24201608.87,79795,4735647.18,20734,3593,139,3502,126
202406,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,17633946.9,126127,1408047.76,1454,16331299.37,82332,2127630.46,7558,4556,73,4521,69
202402,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,21993861.97,176940,1940954.68,2057,21678787.05,108113,1846298.35,5764,5774,90,5466,93
202209,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,8105026.98,43517,621078.52,762,7504816.89,34253,1671403.99,1842,2857,55,2991,46
202107,2707800,Roteiro,27,ALAGOAS,NE,NORDESTE,1762439.01,8862,745178.39,642,1848074.61,12491,196491.24,510,1037,35,1289,30
202304,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,24727044.37,137197,7321958.18,5479,23537072.86,88379,6384740.04,17850,4959,190,4969,204
202506,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,49171579.43,286384,14984878.04,16269,49748875.3,160863,17410684.92,59582,6391,296,6225,293
202203,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,5205209.71,26453,398232.09,374,5252435.16,22160,824734.23,837,2197,42,2323,37
202501,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,29153355.82,164318,2236642.43,4733,26108078.25,101810,3745849.91,14874,5184,89,4968,81
202304,4311627,Lindolfo Collor,43,RIO GRANDE DO SUL,SU,SUL,8020184.06,41922,53011096.77,4867,8459756.6,28535,47028789.86,7254,2930,212,2772,226
202410,4308805,General Câmara,43,RIO GRANDE DO SUL,SU,SUL,17781533.39,114023,6658151.65,5477,16253696.16,58419,5418053.29,15531,4162,266,3890,233
202207,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,13561864.67,73021,1165175.06,1252,12421664.5,57370,1406474.98,4062,4198,75,4200,83
202109,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,3245450.03,14524,825640.34,524,4158931.55,12882,543410.75,562,1724,62,1739,49
202402,3112307,Capelinha,31,MINAS GERAIS,SE,SUDESTE,112531795.05,578811,44729404.75,41023,110225991.6,328801,46583464.39,111277,22410,1665,22242,1618
202112,2111029,São João Do Carú,21,MARANHÃO,NE,NORDESTE,5736938.49,24727,1128077.18,634,6538064.09,20462,725313.22,1214,2073,57,2204,54
