AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202307,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,2025666.52,4374,1542024.97,380,1685272.21,2181,1578806.31,1036,508,39,405,36
202408,4107009,CURIÚVA,41,PARANÁ,SU,SUL,34328263.56,191366,24115958.84,14043,36244517.69,107539,23149155.49,35716,7199,491,7002,455
202507,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,48064308.57,294901,11010694.84,8740,46133742.14,180604,9461636.43,34185,9327,249,9095,229
202012,4107009,CURIÚVA,41,PARANÁ,SU,SUL,1404209.25,3099,4542798.83,446,1878596.63,3232,3638968.35,269,857,77,825,87
202310,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,25268353.57,157418,7384315.28,3938,24832461.17,102924,6785708.76,11153,7140,174,7081,161
202501,4107009,CURIÚVA,41,PARANÁ,SU,SUL,35474125.07,193455,22218307.82,14679,36539237.44,105682,20721848.2,33154,7478,500,7250,480
202304,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,20781490.97,110531,6283263.12,2493,20108184.18,78801,5454300.62,7270,6262,152,6286,151
202404,4318606,SÃO JOSÉ DO OURO,43,RIO GRANDE DO SUL,SU,SUL,33376784.78,54203,12164665.54,6071,26601846.21,26811,15202302.95,17611,3440,415,3143,408
202107,4107009,CURIÚVA,41,PARANÁ,SU,SUL,8144277.54,20453,9018184.9,2708,8965371.49,19834,7745017.5,3540,2977,231,2840,234
202308,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,2755872.82,4874,1456349.78,386,2300513.66,2397,2041883.01,1123,644,40,531,36
202402,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,1917837.83,5564,1654278.18,398,1407552.4,2709,1598154.36,1227,553,42,458,36
202304,2614808,TACARATU,26,PERNAMBUCO,NE,NORDESTE,19168512.48,117719,1934209.18,2344,19307696.31,87281,2319460.95,7864,7036,134,6682,131
202401,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,29380647.49,184533,8110681.77,4413,27842957.94,118279,8165415.99,13337,7547,181,7422,177
202207,2703106,IGACI,27,ALAGOAS,NE,NORDESTE,17053437.34,79198,1683376.42,1796,17537316.46,65622,1505522.35,2893,5767,102,6083,103
202407,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,8475018.32,63537,2506728.46,1660,9075884.68,39081,1386302.99,4469,2050,72,2049,69
202212,4107009,CURIÚVA,41,PARANÁ,SU,SUL,21232730.53,78990,19837551.58,7605,22623390.93,56987,19228711.92,16097,5432,362,5388,367
202305,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,21228778.72,116737,5848877.33,2460,20613103.24,81498,5899855.05,7858,6432,155,6391,154
202403,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,32100999.71,210172,8385649.49,5088,30385392.81,130742,8415771.64,14892,7775,190,7663,183
202305,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,28057531.35,123306,17357814.61,9259,27612383.7,88022,15733924.31,23327,4724,276,4832,277
202102,2703106,IGACI,27,ALAGOAS,NE,NORDESTE,1903502.62,5376,154118.77,166,2032100.48,5887,156065.29,104,1038,21,1406,19
